"","Culture","Day","n"
"1","3920",5,5
"2","3920",6,4
"3","3920",7,6
"4","3920",8,5
"5","3920",9,4
"6","3852",5,6
"7","3852",6,6
"8","3852",7,6
"9","3852",8,5
"10","3852",9,3
"11","3984",5,5
"12","3984",6,5
"13","3984",7,5
"14","3984",8,5
"15","3984",9,3
"16","3324a",5,6
"17","3324a",6,6
"18","3324a",7,6
"19","3324a",8,5
"20","3324a",9,4
"21","3850",5,6
"22","3850",6,6
"23","3850",7,6
"24","3850",8,6
"25","3850",9,4
"26","3821",5,6
"27","3821",6,6
"28","3821",7,6
"29","3821",8,6
"30","3821",9,4
"31","3822",5,6
"32","3822",6,6
"33","3822",7,6
"34","3822",8,5
"35","3822",9,3
"36","3824",5,5
"37","3824",6,5
"38","3824",7,5
"39","3824",8,6
"40","3824",9,4
"41","3911",5,6
"42","3911",6,6
"43","3911",7,5
"44","3911",8,6
"45","3911",9,3
"46","3905",5,6
"47","3905",6,6
"48","3905",7,4
"49","3905",8,5
"50","3905",9,4
"51","3842",5,5
"52","3842",6,6
"53","3842",7,5
"54","3842",8,6
"55","3842",9,4
"56","3973",5,6
"57","3973",6,4
"58","3973",7,5
"59","3973",8,5
"60","3973",9,3
"61","3324m",5,5
"62","3324m",6,5
"63","3324m",7,4
"64","3324m",8,5
"65","3324m",9,3
"66",NA,8,1
